Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0005nt-7z4q7ea-amd-ryzen-7-784ohs-16-gb-ram-1-tb-ssd-8-gb-rtx-4070-16-1-fhd-144-hz-dos-p-758774436,45.999 TL
,Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.9,,,IPS,16 GB,DDR5,Gri,512 GB,,,2.6,1920 x 1200,FHD+,13650HX,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//asus/rog-strix-g16-g614jva29-n3159a29-intel-i7-13650hx-16gb-512gb-ssd-rtx4060-windows-11-pro-16-p-753788481,"54.658,64 TL"
,Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.9,,,IPS,16 GB,DDR5,Gri,512 GB,,,2.6,1920 x 1200,FHD+,13650HX,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//asus/rog-strix-g16-g614jva17-n3159a66-intel-i7-13650hx-16gb-512gb-ssd-rtx4060-windows-11-home-16-p-753788426,"54.081,24 TL"
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR5,Siyah,1 TB,,,3.2,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-amd-ryzen-7-7735hs-32gb-1tb-ssd-freedos-rtx4050-15-6-82sb00p4tra38-p-752382072,"36.641,75 TL"
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR5,Gri,512 GB,,,3.2,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-amd-ryzen-7-7735hs-32gb-512gb-ssd-freedos-rtx4050-15-6-82sb00p4tra37-p-752382070,"35.717,95 TL"
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Siyah,512 GB,,,3.2,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-amd-ryzen-7-7735hs-16gb-512gb-ssd-freedos-rtx4050-15-6-82sb00p4tra17-p-752382025,"32.761,81 TL"
32 GB,HDMI - USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),13900HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//dell/gaming-g15-5530-g155530016wh-i9-13900hx-16g-1tb-4060-8g-15-6-fhd-win11-home-gaming-notebook-p-751990012,53.499 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0037nta58-intel-core-i7-13700h-32gb-1tb-ssd-rtx4050-freedos-16-1-7p643eaa58-p-746568194,"40.568,23 TL"
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.4,,,IPS,16 GB,DDR4,Gri,512 GB,,,3.2,1920 x 1080,Full HD (FHD),AMD Ryzen 7 5800H,5. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-amd-ryzen-7-5800h-16gb-512gb-ssd-rtx3060-freedos-15-6-82k20256txa17-p-744080045,33.998 TL
,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Game Garaj Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,500 GB,,,,1920 x 1080,Full HD (FHD),7Y32,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//game-garaj/slayer-r5-4050-c1-r5-7535hs-16gb-500gb-ssd-rtx4050-15-6-fhd-ips-144hz-dos-canta-p-743177887,"34.737,78 TL"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/victus-16-s0011nta13-amd-ryzen-7-7840hs-16gb-1tb-ssd-rtx4060-freedos-16-1-7z584eaa13-p-741581183,"40.563,96 TL"
,Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,64 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//hp/victus-16-r0020nta54-intel-core-i7-13700h-64gb-1tb-ssd-rtx4060-windows-11-pro-16-1-7p637eaa54-p-739594397,"50.429,83 TL"
,Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0020nta37-intel-core-i7-13700h-32gb-512gb-ssd-rtx4060-freedos-16-1-7p637eaa37-p-739157842,"44.833,85 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Pembe,512 GB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-r7-7735hs-16gb-512gb-ssd-rtx4050-6gb-15-6-fhd-fdos-lp051-p-738566613,35.750 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hf-hn028w02-i5-11400h-8gb-512ssd-1tbssd-rtx2050-15-6-fullhd-w11h-tasinabil-p-737092316,27.099 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",AMD Radeon RX6500M,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.2,,,IPS,8 GB,DDR4,Beyaz,512 GB,,,,1920 x 1080,Full HD (FHD),5600H,5. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//hp/victus-gaming-15-fb0021nt-ryzen-5-5600h-8gb-512gb-ssd-rx6500m-4gb-15-6-fhd-w11home-7n5m9ea-p-736364444,"27.414,09 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hf-hn028w08-i5-11400h-32gb-512ssd-1tbssd-rtx2050-15-6-fullhd-w11h-tasinabi-p-736057272,29.069 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.9,,,IPS,32 GB,DDR5,Gri,512 GB,,,2.6,1920 x 1200,WUXGA,13650HX,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//asus/rog-strix-g16-g614ji-n3189-i7-13650hx-32gb-512gb-ssd-rtx4070-8gb-165hz-16-wuxga-fdos-p-732869707,"67.817,97 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Windows,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nua5-lp030a5-ryzen-7-7735hs-16gb-512gb-ssd-rtx4050-uyumlu-10-pro-15-6-p-704190374,"36.472,78 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Windows,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nua37-lp030a37-ryzen-7-7735hs-16gb-512gb-ssd-rtx4050-windows-11-pro-15-6-p-704182824,36.400 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Windows,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4a22-hn008a22-intel-i7-12700h-16gb-1tb-ssd-rtx3050-windows-10-home-15-6-p-701492983,"35.643,73 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Windows,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4a38-hn008a38-intel-i7-12700h-32gb-1tb-ssd-rtx3050-windows-10-home-15-6-p-701491880,"36.968,16 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Windows,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4a17-hn008a17-intel-i7-12700h-16gb-512gb-ssd-rtx3050-w10-pro-15-6-p-700141399,"34.886,91 TL"
,,,Belirtilmemiş,Yok,"15,6 inç",Nvidia GeForce RTX 3050,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,Yok,VA,16 GB,Belirtilmemiş,Çok Renkli,512 GB,,,,1920 x 1080,Full HD (FHD),12700H,Belirtilmemiş,Intel Core i7,Belirtilmemiş,Windows,,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4-hn107w-intel-core-i7-12700h-16gb-ddr4-512gb-m2-ssd-nvidia-geforce-rtx30-p-690954217,36.799 TL
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.7,,,IPS,8 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-a15-r7-7735hs-8gb-512gb-ssd-rtx4050-6gb-15-6-144hz-fhd-fdos-fa507nu-lp052-p-690585527,34.999 TL
,,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3080,GDDR6,8 GB,Harici,360 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,Yok,IPS,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12900H,12. Nesil,Intel Core i9,14,Free Dos,,https://www.trendyol.com//asus/rog-strix-scar-17-g733zs-kh011-i9-12900h-16gb-ram-1tb-ssd-8gb-rtx3080-17-3-inc-fhd-360hz-p-353441648,"85.890,48 TL"
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3070,GDDR6,8 GB,Yüksek Seviye Harici Ekran Kartı,,Full HD,,Resmi Distribütör Garantili,Full HD,,,1 TB,Aydınlatmalı,Oyun,,,Yok,IPS,16 GB,,,1 TB,,,,1920 x 1080,Full HD (FHD),5900HX,,AMD Ryzen 9,,Free Dos,,https://www.trendyol.com//hp/omen-15-en1010nt-434m2ea-ryzen-9-5900hx-16-gb-1-tb-m-2-rtx3070-8gb-15-6-144hz-freedos-p-125967026,55.000 TL
32 GB,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,,,Resmi Distribütör Garantili,,,Yok,Yok,Q Türkçe,Oyun,4.6,,Yok,IPS,8 GB,DDR4,Siyah,512 GB,,,2.3,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Windows,4-6 Saat,https://www.trendyol.com//msi/katana-gf66-11ue-606tr-i7-11800h-8gb-ddr4-rtx3060-gddr6-6gb-512gb-ssd-15-6-fhd-144hz-w10-p-218334977,64.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0037nta38-intel-core-i7-13700h-16gb-1tb-ssd-rtx4050-freedos-16-1-7p643eaa38-p-746568167,"37.976,82 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR4,Metalik,512 GB,,,,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-f15-intel-core-i7-12700h-16gb-512gb-ssd-rtx3050-freedos-15-6-tasinabilir-bilgisayar-p-773577739,34.949 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Siyah,512 GB,Gen 4,,,1920 x 1080,Full HD (FHD),13700HX,13. Nesil,Intel Core i9,16,Free Dos,4-6 Saat,https://www.trendyol.com//hp/omen-16-wf0023nt-i7-13700hx-32gb-512gb-ssd-rtx4070-8gb-16-1-fhd-fdos-7q7x5ea-p-762308134,"63.172,89 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR5,Siyah,512 GB,,,2.3,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-f15-i7-12700h-32gb-512gb-ssd-rtx4050-6gb-144hz-15-6-fhd-fdos-fx507zu4-lp056-p-742680451,"46.702,26 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,8 GB,DDR5,Pembe,512 GB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-r7-7735hs-8gb-512gb-ssd-rtx4050-6gb-15-6-fhd-w11pro-lp051-p-738572207,"38.258,55 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3070,GDDR6,8 GB,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,Yok,IPS,32 GB,DDR4,Siyah,1 TB,,,2.3,2560 x 1440,Full HD (FHD),11800H,11. Nesil,Intel Core i7,Belirtilmemiş,Windows,,https://www.trendyol.com//msi/stealth-gs66-12ugs-016tr-i7-12700h-32gb-ddr5-rtx3070ti-gddr6-8gb-1tb-ssd-15-6-qhd-240hz-w11-p-230344887,115.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,2 TB,Gen 4,,,1920 x 1200,WUXGA,7535HS,7. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//acer/nitro-16-an16-416-r5-7535hs-16gb-2tb-ssd-rtx4050-6gb-16-165hz-wuxga-w11-pro-nh-qkbey-003-p-779180655,"39.845,52 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR5,Siyah,2 TB,Gen 4,,,1920 x 1200,WUXGA,7535HS,7. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//acer/nitro-16-an16-416-r5-7535hs-8gb-2tb-ssd-rtx4050-6gb-16-165hz-wuxga-w11-pro-nh-qkbey-003-p-779180184,"38.700,09 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,2 TB,Gen 4,,,1920 x 1200,WUXGA,7535HS,7. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//acer/nitro-16-an16-416-r5-7535hs-16gb-2tb-ssd-rtx4050-6gb-16-165hz-wuxga-w11-home-nh-qkbey-003-p-779169611,"39.176,28 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR5,Siyah,2 TB,Gen 4,,,1920 x 1200,WUXGA,7535HS,7. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//acer/nitro-16-an16-416-r5-7535hs-8gb-2tb-ssd-rtx4050-6gb-16-165hz-wuxga-w11-home-nh-qkbey-003-p-779167504,"38.049,66 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.9,,,IPS,64 GB,DDR5,Gri,512 GB,Gen 4,,,2560 x 1600,QHD+,13650HX,13. Nesil,Intel Core i7,14,Free Dos,4-6 Saat,https://www.trendyol.com//dell/g16-7630-i7-13650hx-64gb-ram-512gb-ssd-rtx4060-8gb-165hz-16-inc-qhd-fdos-g167630008u-p-776874229,"61.694,82 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.9,,,IPS,32 GB,DDR5,Gri,2 TB,Gen 4,,,2560 x 1600,QHD+,13650HX,13. Nesil,Intel Core i7,14,Free Dos,4-6 Saat,https://www.trendyol.com//dell/g16-7630-i7-13650hx-32gb-ram-2tb-ssd-rtx4060-8gb-165hz-16-inc-qhd-fdos-g167630008u-p-776872939,"61.568,10 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.9,,,IPS,32 GB,DDR5,Gri,1 TB,Gen 4,,,2560 x 1600,QHD+,13650HX,13. Nesil,Intel Core i7,14,Free Dos,4-6 Saat,https://www.trendyol.com//dell/g16-7630-i7-13650hx-32gb-ram-1tb-ssd-rtx4060-8gb-165hz-16-inc-qhd-fdos-g167630008u-p-776872392,"59.540,58 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.9,,,VA,16 GB,DDR5,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,4-6 Saat,https://www.trendyol.com//dell/g15-5530-i7-13650hx-16gb-1tb-ssd-rtx3050-6gb-120hz-15-6-fhd-windows-11-g55302401005h-p-765722113,"44.334,18 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.9,,,VA,64 GB,DDR5,Gri,2 TB,Gen 4,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,4-6 Saat,https://www.trendyol.com//dell/g15-5530-i7-13650hx-64gb-2tb-ssd-rtx3050-6gb-120hz-15-6-fhd-windows-11-g55302401005h-p-763663938,"52.439,31 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.9,,,VA,64 GB,DDR5,Gri,512 GB,Gen 4,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,4-6 Saat,https://www.trendyol.com//dell/g15-5530-i7-13650hx-64gb-512gb-ssd-rtx3050-6gb-120hz-15-6-fhd-windows-11-g55302401005h-p-763663607,"48.451,59 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.9,,,VA,64 GB,DDR5,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,4-6 Saat,https://www.trendyol.com//dell/g15-5530-i7-13650hx-64gb-1tb-ssd-rtx3050-6gb-120hz-15-6-fhd-windows-11-g55302401005h-p-763663478,"50.358,33 TL"
